id,listnum,category,item,group
S101,2,animals,cheetah,fakegroupB
S101,2,animals,lion,fakegroupB
S101,2,animals,hiena,fakegroupB
S101,2,animals,parrot,fakegroupA
S101,2,animals,lovebird,fakegroupA
S101,2,animals,cat,fakegroupA
S101,2,animals,germansheperd,fakegroupA
S101,2,animals,terrier,fakegroupA
S101,2,animals,poodle,fakegroupA
S101,2,animals,bluerussian,fakegroupA
S101,2,animals,persian,fakegroupA
S101,2,animals,humunukuapuaa,fakegroupA
S101,2,animals,pufferfish,fakegroupA
S101,2,animals,robin,fakegroupA
S101,2,animals,giraffe,fakegroupA
S101,2,animals,elephant,fakegroupA
S101,2,animals,hippo,fakegroupA
S101,2,animals,monkey,fakegroupA
S101,2,animals,shark,fakegroupA
S101,2,animals,antelope,fakegroupA
S101,2,animals,rhino,fakegroupA
S101,2,animals,feasent,fakegroupA
S101,2,animals,quaill,fakegroupA
S101,2,animals,snake,fakegroupA
S101,2,animals,leaopard,fakegroupA
S101,2,animals,warthog,fakegroupA
S101,2,animals,sebra,fakegroupA
S101,2,animals,zebra,fakegroupA
S101,5,animals,cheetah,fakegroupA
S101,5,animals,cat,fakegroupA
S101,5,animals,dog,fakegroupA
S101,5,animals,lion,fakegroupA
S101,5,animals,bird,fakegroupA
S101,5,animals,fish,fakegroupA
S101,5,animals,antelope,fakegroupA
S101,5,animals,elephant,fakegroupA
S101,5,animals,hiene,fakegroupA
S101,5,animals,hiena-,fakegroupA
S101,5,animals,hippo,fakegroupA
S101,5,animals,zebra,fakegroupA
S101,5,animals,peacock,fakegroupA
S101,5,animals,pig,fakegroupA
S101,5,animals,warthog,fakegroupA
S101,5,animals,polarbear,fakegroupA
S101,5,animals,grizzlybear,fakegroupA
S101,5,animals,parrot,fakegroupA
S101,5,animals,lovebird,fakegroupA
S101,5,animals,sunconure,fakegroupA
S101,5,animals,duck,fakegroupA
S101,5,animals,goose,fakegroupA
S101,5,animals,swan,fakegroupA
S101,5,animals,hors,fakegroupA
S101,5,animals,jaguar,fakegroupA
S101,5,animals,monkey,fakegroupA
S101,5,animals,snake,fakegroupA
S101,5,animals,mouse,fakegroupA
S101,5,animals,ant,fakegroupA
S101,5,animals,llama,fakegroupA
S101,5,animals,dolphin,fakegroupA
S101,5,animals,fox,fakegroupA
S101,5,animals,chiken,fakegroupA
S101,5,animals,rooster,fakegroupA
S101,8,animals,cheetah,fakegroupA
S101,8,animals,lion,fakegroupA
S101,8,animals,elephant,fakegroupA
S101,8,animals,jaguar,fakegroupA
S101,8,animals,snake,fakegroupA
S101,8,animals,polar,fakegroupA
S101,8,animals,bear,fakegroupA
S101,8,animals,grizzlybear,fakegroupA
S101,8,animals,antelope,fakegroupA
S101,8,animals,snake,fakegroupA
S101,8,animals,mouse,fakegroupA
S101,8,animals,ant,fakegroupA
S101,8,animals,hare,fakegroupA
S101,8,animals,bunny,fakegroupA
S101,8,animals,goose,fakegroupA
S101,8,animals,geese,fakegroupA
S101,8,animals,swan,fakegroupA
S101,8,animals,bees,fakegroupA
S101,8,animals,beatles,fakegroupA
S101,8,animals,grasshopper,fakegroupA
S101,8,animals,frogs,fakegroupA
S101,8,animals,fox,fakegroupA
S101,8,animals,sparrow,fakegroupA
S101,8,animals,turkey,fakegroupA
S101,8,animals,tortoise,fakegroupA
S101,8,animals,wolves,fakegroupA
S101,8,animals,guineapigs,fakegroupA
S101,8,animals,pigeon,fakegroupA
S101,8,animals,chiken,fakegroupA
S101,8,animals,rooster,fakegroupA
S101,8,animals,whale,fakegroupA
S101,8,animals,dolphin,fakegroupA
S101,8,animals,shark,fakegroupA
S101,8,animals,snail,fakegroupA
S101,8,animals,slug,fakegroupA
S101,8,animals,dog,fakegroupA
S101,8,animals,cat,fakegroupA
S101,8,animals,bird,fakegroupA
S101,8,animals,fish,fakegroupA
S102,0,animals,bear,fakegroupA
S102,0,animals,cat,fakegroupA
S102,0,animals,dog,fakegroupA
S102,0,animals,bird,fakegroupA
S102,0,animals,skunk,fakegroupA
S102,0,animals,tiger,fakegroupA
S102,0,animals,lion,fakegroupA
S102,0,animals,zebra,fakegroupA
S102,0,animals,ostrich,fakegroupA
S102,0,animals,giraffe,fakegroupA
S102,0,animals,llama,fakegroupA
S102,0,animals,turtle,fakegroupA
S102,0,animals,elephant,fakegroupA
S102,0,animals,monkey,fakegroupA
S102,0,animals,horse,fakegroupA
S102,0,animals,donkey,fakegroupA
S102,0,animals,cheetah,fakegroupA
S102,0,animals,fish,fakegroupA
S102,3,animals,bear,fakegroupA
S102,3,animals,fox,fakegroupA
S102,3,animals,wolf,fakegroupA
S102,3,animals,tiger,fakegroupA
S102,3,animals,lion,fakegroupA
S102,3,animals,elephant,fakegroupA
S102,3,animals,horse,fakegroupA
S102,3,animals,cow,fakegroupA
S102,3,animals,donkey,fakegroupA
S102,3,animals,monkey,fakegroupA
S102,3,animals,cat,fakegroupA
S102,3,animals,dog,fakegroupA
S102,3,animals,llama,fakegroupA
S102,3,animals,giraffe,fakegroupA
S102,3,animals,owl,fakegroupA
S102,3,animals,chicken,fakegroupA
S102,3,animals,turkey,fakegroupA
S102,3,animals,cheetah,fakegroupA
S102,3,animals,leopard,fakegroupA
S102,3,animals,jaguar,fakegroupA
S102,3,animals,mountainlion,fakegroupA
S102,3,animals,bobcat,fakegroupA
S102,6,animals,bear,fakegroupA
S102,6,animals,fox,fakegroupA
S102,6,animals,dog,fakegroupA
S102,6,animals,cat,fakegroupA
S102,6,animals,lion,fakegroupA
S102,6,animals,tiger,fakegroupA
S102,6,animals,elephant,fakegroupA
S102,6,animals,cheetah,fakegroupA
S102,6,animals,leopard,fakegroupA
S102,6,animals,jaguar,fakegroupA
S102,6,animals,bobcat,fakegroupA
S102,6,animals,horse,fakegroupA
S102,6,animals,donkey,fakegroupA
S102,6,animals,llama,fakegroupA
S102,6,animals,giraffe,fakegroupA
S102,6,animals,cat,fakegroupA
S102,6,animals,dog,fakegroupA
S102,6,animals,monkey,fakegroupA
S102,6,animals,turtle,fakegroupA
S102,6,animals,wolf,fakegroupA
S102,6,animals,hyena,fakegroupA
S102,6,animals,coyote,fakegroupA
S102,6,animals,fox,fakegroupA
S102,6,animals,zebra,fakegroupA
S102,6,animals,falcom,fakegroupA
S102,6,animals,owl,fakegroupA
S102,6,animals,turkey,fakegroupA
S102,6,animals,ostrich,fakegroupA
S103,2,animals,dog,fakegroupA
S103,2,animals,sloth,fakegroupA
S103,2,animals,cat,fakegroupA
S103,2,animals,human,fakegroupA
S103,2,animals,cheeta,fakegroupA
S103,2,animals,tiger,fakegroupA
S103,2,animals,gorilla,fakegroupA
S103,2,animals,zebra,fakegroupA
S103,2,animals,lion,fakegroupA
S103,2,animals,turtle,fakegroupA
S103,2,animals,slowloris,fakegroupA
S103,2,animals,rabbit,fakegroupA
S103,2,animals,capybara,fakegroupA
S103,2,animals,alpaca,fakegroupA
S103,2,animals,lama,fakegroupA
S103,2,animals,redpanda,fakegroupA
S103,2,animals,panda,fakegroupA
S103,2,animals,donkey,fakegroupA
S103,2,animals,mule,fakegroupA
S103,2,animals,giraffe,fakegroupA
S103,2,animals,goat,fakegroupA
S103,2,animals,rat,fakegroupA
S103,2,animals,mouse,fakegroupA
S103,2,animals,gerbil,fakegroupA
S103,2,animals,hampster,fakegroupA
S103,2,animals,ferret,fakegroupA
S103,2,animals,weasle,fakegroupA
S103,2,animals,mink,fakegroupA
S103,2,animals,wolf,fakegroupA
S103,2,animals,snake,fakegroupA
S103,2,animals,goldfish,fakegroupA
S103,2,animals,pirrana,fakegroupA
S103,2,animals,mantis,fakegroupA
S103,2,animals,ocelot,fakegroupA
S103,2,animals,octopus,fakegroupA
S103,2,animals,raven,fakegroupA
S103,2,animals,crow,fakegroupA
S103,2,animals,cranefly,fakegroupA
S103,2,animals,crane,fakegroupA
S103,2,animals,eagle,fakegroupA
S103,2,animals,parrot,fakegroupA
S103,2,animals,hawk,fakegroupA
S103,2,animals,tick,fakegroupA
S103,2,animals,snale,fakegroupA
S103,2,animals,penguin,fakegroupA
S103,5,animals,cat,fakegroupA
S103,5,animals,dog,fakegroupA
S103,5,animals,mouse,fakegroupA
S103,5,animals,rat,fakegroupA
S103,5,animals,koala,fakegroupA
S103,5,animals,sloth,fakegroupA
S103,5,animals,slowloris,fakegroupA
S103,5,animals,deer,fakegroupA
S103,5,animals,squirrel,fakegroupA
S103,5,animals,chipmunk,fakegroupA
S103,5,animals,moose,fakegroupA
S103,5,animals,hawk,fakegroupA
S103,5,animals,eagle,fakegroupA
S103,5,animals,bluejay,fakegroupA
S103,5,animals,hampster,fakegroupA
S103,5,animals,gerbal,fakegroupA
S103,5,animals,zebra,fakegroupA
S103,5,animals,garrafe,fakegroupA
S103,5,animals,hippo,fakegroupA
S103,5,animals,lion,fakegroupA
S103,5,animals,redpanda,fakegroupA
S103,5,animals,panda,fakegroupA
S103,5,animals,bat,fakegroupA
S103,5,animals,bee,fakegroupA
S103,5,animals,cheetah,fakegroupA
S103,5,animals,lepard,fakegroupA
S103,5,animals,ocelot,fakegroupA
S103,5,animals,snake,fakegroupA
S103,5,animals,wolf,fakegroupA
S103,5,animals,bear,fakegroupA
S103,5,animals,monkey,fakegroupA
S103,5,animals,orangutan,fakegroupA
S103,5,animals,gorrila,fakegroupA
S103,5,animals,chimpanzee,fakegroupA
S103,5,animals,horse,fakegroupA
S103,5,animals,seacow,fakegroupA
S103,5,animals,kangaroo,fakegroupA
S103,5,animals,yellowjacket,fakegroupA
S103,5,animals,hyena,fakegroupA
S103,5,animals,sugarglider,fakegroupA
S103,5,animals,blackheadedgull,fakegroupA
S103,5,animals,seagull,fakegroupA
S103,5,animals,sealion,fakegroupA
S103,5,animals,seal,fakegroupA
S103,5,animals,mantis,fakegroupA
S103,5,animals,rhino,fakegroupA
S103,5,animals,antelope,fakegroupA
S103,5,animals,pig,fakegroupA
S103,5,animals,boar,fakegroupA
S103,5,animals,human,fakegroupA
S103,5,animals,marmoset,fakegroupA
S103,5,animals,lemur,fakegroupA
S103,7,animals,cat,fakegroupA
S103,7,animals,dog,fakegroupA
S103,7,animals,human,fakegroupA
S103,7,animals,bear,fakegroupA
S103,7,animals,rat,fakegroupA
S103,7,animals,pig,fakegroupA
S103,7,animals,cow,fakegroupA
S103,7,animals,seacow,fakegroupA
S103,7,animals,chicken,fakegroupA
S103,7,animals,panda,fakegroupA
S103,7,animals,redpanda,fakegroupA
S103,7,animals,boar,fakegroupA
S103,7,animals,lemur,fakegroupA
S103,7,animals,gorilla,fakegroupA
S103,7,animals,orangutan,fakegroupA
S103,7,animals,donkey,fakegroupA
S103,7,animals,horse,fakegroupA
S103,7,animals,deer,fakegroupA
S103,7,animals,raptor,fakegroupA
S103,7,animals,dinosaur,fakegroupA
S103,7,animals,marmoset,fakegroupA
S103,7,animals,hampster,fakegroupA
S103,7,animals,alpaca,fakegroupA
S103,7,animals,sheep,fakegroupA
S103,7,animals,goat,fakegroupA
S103,7,animals,llama,fakegroupA
S103,7,animals,woolymamoth,fakegroupA
S103,7,animals,elephant,fakegroupA
S103,7,animals,zebra,fakegroupA
S103,7,animals,goose,fakegroupA
S103,7,animals,hawk,fakegroupA
S103,7,animals,swan,fakegroupA
S103,7,animals,kangaroo,fakegroupA
S103,7,animals,mouse,fakegroupA
S103,7,animals,crane,fakegroupA
S103,7,animals,cranefly,fakegroupA
S103,7,animals,fly,fakegroupA
S103,7,animals,duck,fakegroupA
S103,7,animals,hawk,fakegroupA
S103,7,animals,crow,fakegroupA
S103,7,animals,raven,fakegroupA
S103,7,animals,mink,fakegroupA
S103,7,animals,seal,fakegroupA
S103,7,animals,otter,fakegroupA
S103,7,animals,polarbear,fakegroupA
S103,7,animals,dolphin,fakegroupA
S103,7,animals,penguin,fakegroupA
S103,7,animals,catfish,fakegroupA
S103,7,animals,whale,fakegroupA
S103,7,animals,baloogawhale,fakegroupA
S103,7,animals,sealion,fakegroupA
S103,7,animals,seacow,fakegroupA
S103,7,animals,cow,fakegroupA
S103,7,animals,lion,fakegroupA
S103,7,animals,wolf,fakegroupA
S103,7,animals,cheetah,fakegroupA
S103,7,animals,lepard,fakegroupA
S103,7,animals,ocelot,fakegroupA
S103,7,animals,tiger,fakegroupA
S103,7,animals,piranna,fakegroupA
S103,7,animals,flyingsquirel,fakegroupA
S104,1,animals,dog,fakegroupA
S104,1,animals,cat,fakegroupA
S104,1,animals,horse,fakegroupA
S104,1,animals,elephant,fakegroupA
S104,1,animals,lemur,fakegroupA
S104,1,animals,squirrel,fakegroupA
S104,1,animals,groundhog,fakegroupA
S104,1,animals,horse,fakegroupA
S104,1,animals,raccoon,fakegroupA
S104,1,animals,opossum,fakegroupA
S104,1,animals,baldeagle,fakegroupA
S104,1,animals,woodpecker,fakegroupA
S104,1,animals,bluejay,fakegroupA
S104,1,animals,marmot,fakegroupA
S104,1,animals,killerwhale,fakegroupA
S104,1,animals,greatwhiteshark,fakegroupA
S104,1,animals,dolphin,fakegroupA
S104,1,animals,fox,fakegroupA
S104,1,animals,polarbear,fakegroupA
S104,1,animals,tiger,fakegroupA
S104,1,animals,buffalo,fakegroupA
S104,1,animals,wildebeast,fakegroupA
S104,1,animals,deer,fakegroupA
S104,1,animals,platypus,fakegroupA
S104,1,animals,python,fakegroupA
S104,1,animals,anaconda,fakegroupA
S104,1,animals,parrot,fakegroupA
S104,1,animals,mouse,fakegroupA
S104,1,animals,ferret,fakegroupA
S104,1,animals,rabbit,fakegroupA
S104,1,animals,pig,fakegroupA
S104,1,animals,porcupine,fakegroupA
S104,1,animals,hedgehog,fakegroupA
S104,1,animals,trout,fakegroupA
S104,1,animals,owl,fakegroupA
S104,5,animals,tiger,fakegroupA
S104,5,animals,lion,fakegroupA
S104,5,animals,polarbear,fakegroupA
S104,5,animals,cougar,fakegroupA
S104,5,animals,opossum,fakegroupA
S104,5,animals,raccoon,fakegroupA
S104,5,animals,groundhog,fakegroupA
S104,5,animals,hedgehog,fakegroupA
S104,5,animals,pig,fakegroupA
S104,5,animals,python,fakegroupA
S104,5,animals,koalabear,fakegroupA
S104,5,animals,pandabear,fakegroupA
S104,5,animals,platypus,fakegroupA
S104,5,animals,crocodile,fakegroupA
S104,5,animals,fakegroupAigator,fakegroupA
S104,5,animals,scorpion,fakegroupA
S104,5,animals,deer,fakegroupA
S104,5,animals,parrot,fakegroupA
S104,5,animals,buffalo,fakegroupA
S104,5,animals,baldeagle,fakegroupA
S104,5,animals,otter,fakegroupA
S104,5,animals,lemur,fakegroupA
S104,5,animals,skunk,fakegroupA
S104,5,animals,moose,fakegroupA
S104,5,animals,caribou,fakegroupA
S104,5,animals,elk,fakegroupA
S104,5,animals,wildebeast,fakegroupA
S104,5,animals,elephant,fakegroupA
S104,5,animals,greatwhiteshark,fakegroupA
S104,5,animals,dolphin,fakegroupA
S104,5,animals,trout,fakegroupA
S104,5,animals,lobster,fakegroupA
S104,5,animals,crab,fakegroupA
S104,5,animals,fox,fakegroupA
S104,5,animals,owl,fakegroupA
S104,5,animals,ferret,fakegroupA
S104,5,animals,pig,fakegroupA
S104,5,animals,boar,fakegroupA
S104,8,animals,polarbear,fakegroupA
S104,8,animals,koalabear,fakegroupA
S104,8,animals,pandabear,fakegroupA
S104,8,animals,grizleybear,fakegroupA
S104,8,animals,mongoose,fakegroupA
S104,8,animals,cougar,fakegroupA
S104,8,animals,tiger,fakegroupA
S104,8,animals,lion,fakegroupA
S104,8,animals,opossum,fakegroupA
S104,8,animals,racoon,fakegroupA
S104,8,animals,skunk,fakegroupA
S104,8,animals,python,fakegroupA
S104,8,animals,anaconda,fakegroupA
S104,8,animals,crocodile,fakegroupA
S104,8,animals,fakegroupAigator,fakegroupA
S104,8,animals,platypus,fakegroupA
S104,8,animals,scorpion,fakegroupA
S104,8,animals,lobster,fakegroupA
S104,8,animals,jellyfish,fakegroupA
S104,8,animals,octopus,fakegroupA
S104,8,animals,crab,fakegroupA
S104,8,animals,starfish,fakegroupA
S104,8,animals,porcupine,fakegroupA
S104,8,animals,buffalo,fakegroupA
S104,8,animals,baldeagle,fakegroupA
S104,8,animals,wolverine,fakegroupA
S104,8,animals,badger,fakegroupA
S104,8,animals,lemur,fakegroupA
S104,8,animals,ferret,fakegroupA
S104,8,animals,pig,fakegroupA
S104,8,animals,boar,fakegroupA
S104,8,animals,sheep,fakegroupA
S104,8,animals,deer,fakegroupA
S104,8,animals,wildebeast,fakegroupA
S104,8,animals,elephant,fakegroupA
S104,8,animals,bluewhale,fakegroupA
S104,8,animals,dolphin,fakegroupA
S104,8,animals,penguin,fakegroupA
S104,8,animals,goat,fakegroupA
S105,1,animals,turtle,fakegroupA
S105,1,animals,zebra,fakegroupA
S105,1,animals,giraffe,fakegroupA
S105,1,animals,dog,fakegroupA
S105,1,animals,cat,fakegroupA
S105,1,animals,fish,fakegroupA
S105,1,animals,elephant,fakegroupA
S105,1,animals,lion,fakegroupA
S105,1,animals,ostrich,fakegroupA
S105,1,animals,whale,fakegroupA
S105,1,animals,dolphin,fakegroupA
S105,1,animals,cow,fakegroupA
S105,1,animals,sheep,fakegroupA
S105,1,animals,wolf,fakegroupA
S105,3,animals,zebra,fakegroupA
S105,3,animals,giraffe,fakegroupA
S105,3,animals,elephants,fakegroupA
S105,3,animals,ant,fakegroupA
S105,3,animals,whale,fakegroupA
S105,3,animals,dolphin,fakegroupA
S105,3,animals,dog,fakegroupA
S105,3,animals,cat,fakegroupA
S105,3,animals,fish,fakegroupA
S105,3,animals,ostrich,fakegroupA
S105,3,animals,lion,fakegroupA
S105,3,animals,leopard,fakegroupA
S105,3,animals,donkey,fakegroupA
S105,3,animals,horse,fakegroupA
S105,3,animals,sheep,fakegroupA
S105,3,animals,cow,fakegroupA
S105,3,animals,pig,fakegroupA
S105,3,animals,chicken,fakegroupA
S105,3,animals,octopus,fakegroupA
S105,3,animals,shark,fakegroupA
S105,6,animals,zebra,fakegroupA
S105,6,animals,donkey,fakegroupA
S105,6,animals,lion,fakegroupA
S105,6,animals,giraffe,fakegroupA
S105,6,animals,leopard,fakegroupA
S105,6,animals,elephant,fakegroupA
S105,6,animals,hippopotamus,fakegroupA
S105,6,animals,ostrich,fakegroupA
S105,6,animals,whale,fakegroupA
S105,6,animals,dolphin,fakegroupA
S105,6,animals,shark,fakegroupA
S105,6,animals,fish,fakegroupA
S105,6,animals,dog,fakegroupA
S105,6,animals,cat,fakegroupA
S105,6,animals,gerbil,fakegroupA
S105,6,animals,mouse,fakegroupA
S105,6,animals,rat,fakegroupA
S105,6,animals,snake,fakegroupA
S105,6,animals,cow,fakegroupA
S105,6,animals,chicken,fakegroupA
S105,6,animals,pig,fakegroupA
S105,6,animals,horse,fakegroupA
S105,6,animals,bat,fakegroupA
S105,6,animals,skunk,fakegroupA
S106,1,animals,cat,fakegroupA
S106,1,animals,dog,fakegroupA
S106,1,animals,possum,fakegroupA
S106,1,animals,cow,fakegroupA
S106,1,animals,racoon,fakegroupA
S106,1,animals,squirrel,fakegroupA
S106,1,animals,bat,fakegroupA
S106,1,animals,tiger,fakegroupA
S106,1,animals,lion,fakegroupA
S106,1,animals,horse,fakegroupA
S106,1,animals,elephant,fakegroupA
S106,1,animals,pig,fakegroupA
S106,1,animals,chicken,fakegroupA
S106,1,animals,bufflalo,fakegroupA
S106,1,animals,lemur,fakegroupA
S106,1,animals,coyote,fakegroupA
S106,1,animals,giraffe,fakegroupA
S106,4,animals,cats,fakegroupA
S106,4,animals,dogs,fakegroupA
S106,4,animals,bats,fakegroupA
S106,4,animals,mice,fakegroupA
S106,4,animals,armadillos,fakegroupA
S106,4,animals,skunks,fakegroupA
S106,4,animals,kangaroos,fakegroupA
S106,4,animals,pandas,fakegroupA
S106,4,animals,fakegroupAigators,fakegroupA
S106,4,animals,elephants,fakegroupA
S106,4,animals,lions,fakegroupA
S106,4,animals,tigers,fakegroupA
S106,4,animals,bears,fakegroupA
S106,4,animals,hawks,fakegroupA
S106,4,animals,penguins,fakegroupA
S106,4,animals,pigs,fakegroupA
S106,4,animals,chickens,fakegroupA
S106,4,animals,giraffes,fakegroupA
S106,4,animals,horses,fakegroupA
S106,4,animals,snakes,fakegroupA
S106,6,animals,cats,fakegroupA
S106,6,animals,dogs,fakegroupA
S106,6,animals,lions,fakegroupA
S106,6,animals,tigers,fakegroupA
S106,6,animals,bears,fakegroupA
S106,6,animals,elephants,fakegroupA
S106,6,animals,giraffes,fakegroupA
S106,6,animals,gerbils,fakegroupA
S106,6,animals,mice,fakegroupA
S106,6,animals,eagles,fakegroupA
S106,6,animals,hawks,fakegroupA
S106,6,animals,coyotes,fakegroupA
S106,6,animals,penguins,fakegroupA
S106,6,animals,polarbears,fakegroupA
S106,6,animals,flamingos,fakegroupA
S106,6,animals,ducks,fakegroupA
S106,6,animals,walruses,fakegroupA
S106,6,animals,aligators,fakegroupA
S106,6,animals,rabbits,fakegroupA
S106,6,animals,possums,fakegroupA
S106,6,animals,skunks,fakegroupA
S107,1,animals,bear,fakegroupA
S107,1,animals,cat,fakegroupA
S107,1,animals,dog,fakegroupA
S107,1,animals,fish,fakegroupA
S107,1,animals,buffalo,fakegroupA
S107,1,animals,giraffe,fakegroupA
S107,1,animals,leopard,fakegroupA
S107,1,animals,lion,fakegroupA
S107,1,animals,elephant,fakegroupA
S107,1,animals,cheetah,fakegroupA
S107,1,animals,puma,fakegroupA
S107,1,animals,catamount,fakegroupA
S107,1,animals,hippo,fakegroupA
S107,1,animals,rhinoceros,fakegroupA
S107,1,animals,tiger,fakegroupA
S107,1,animals,whale,fakegroupA
S107,1,animals,narwhal,fakegroupA
S107,1,animals,seal,fakegroupA
S107,1,animals,manatee,fakegroupA
S107,1,animals,fox,fakegroupA
S107,1,animals,wolf,fakegroupA
S107,1,animals,flamingo,fakegroupA
S107,1,animals,stork,fakegroupA
S107,1,animals,turtle,fakegroupA
S107,1,animals,toad,fakegroupA
S107,1,animals,frog,fakegroupA
S107,1,animals,rattlesnake,fakegroupA
S107,1,animals,hyena,fakegroupA
S107,1,animals,jaguar,fakegroupA
S107,1,animals,cougar,fakegroupA
S107,1,animals,chimpanzee,fakegroupA
S107,1,animals,orangutan,fakegroupA
S107,1,animals,deer,fakegroupA
S107,1,animals,horse,fakegroupA
S107,1,animals,cow,fakegroupA
S107,1,animals,chicken,fakegroupA
S107,1,animals,sheep,fakegroupA
S107,1,animals,goat,fakegroupA
S107,1,animals,donkey,fakegroupA
S107,1,animals,panther,fakegroupA
S107,1,animals,boar,fakegroupA
S107,3,animals,beagle,fakegroupA
S107,3,animals,wolfhound,fakegroupA
S107,3,animals,fox,fakegroupA
S107,3,animals,wolf,fakegroupA
S107,3,animals,bobcat,fakegroupA
S107,3,animals,boxturtle,fakegroupA
S107,3,animals,snappingturtle,fakegroupA
S107,3,animals,seaturtle,fakegroupA
S107,3,animals,salmon,fakegroupA
S107,3,animals,tuna,fakegroupA
S107,3,animals,leopard,fakegroupA
S107,3,animals,cheetah,fakegroupA
S107,3,animals,lion,fakegroupA
S107,3,animals,tiger,fakegroupA
S107,3,animals,panther,fakegroupA
S107,3,animals,jaguar,fakegroupA
S107,3,animals,capybara,fakegroupA
S107,3,animals,mouse,fakegroupA
S107,3,animals,rat,fakegroupA
S107,3,animals,kangaroo,fakegroupA
S107,3,animals,panda,fakegroupA
S107,3,animals,koala,fakegroupA
S107,3,animals,orca,fakegroupA
S107,3,animals,humpbackwhale,fakegroupA
S107,3,animals,narwhal,fakegroupA
S107,3,animals,seal,fakegroupA
S107,3,animals,sealion,fakegroupA
S107,3,animals,manatee,fakegroupA
S107,3,animals,cow,fakegroupA
S107,3,animals,chicken,fakegroupA
S107,3,animals,donkey,fakegroupA
S107,3,animals,horse,fakegroupA
S107,3,animals,sheep,fakegroupA
S107,3,animals,bison,fakegroupA
S107,3,animals,greatwhiteshark,fakegroupA
S107,3,animals,skate,fakegroupA
S107,3,animals,rattlesnake,fakegroupA
S107,3,animals,frog,fakegroupA
S107,3,animals,toad,fakegroupA
S107,3,animals,flamingo,fakegroupA
S107,3,animals,robin,fakegroupA
S107,3,animals,sparrow,fakegroupA
S107,3,animals,hawk,fakegroupA
S107,3,animals,eagle,fakegroupA
S107,3,animals,stork,fakegroupA
S107,3,animals,hyena,fakegroupA
S107,3,animals,elephant,fakegroupA
S107,8,animals,bulldog,fakegroupA
S107,8,animals,tiger,fakegroupA
S107,8,animals,lion,fakegroupA
S107,8,animals,leopard,fakegroupA
S107,8,animals,jaguar,fakegroupA
S107,8,animals,cheetah,fakegroupA
S107,8,animals,rhinoceros,fakegroupA
S107,8,animals,hippopotamus,fakegroupA
S107,8,animals,hyena,fakegroupA
S107,8,animals,antelope,fakegroupA
S107,8,animals,oryx,fakegroupA
S107,8,animals,giraffe,fakegroupA
S107,8,animals,capybara,fakegroupA
S107,8,animals,mouse,fakegroupA
S107,8,animals,rat,fakegroupA
S107,8,animals,ferret,fakegroupA
S107,8,animals,panda,fakegroupA
S107,8,animals,koala,fakegroupA
S107,8,animals,orca,fakegroupA
S107,8,animals,manatee,fakegroupA
S107,8,animals,narwhal,fakegroupA
S107,8,animals,bluewhale,fakegroupA
S107,8,animals,greatwhiteshark,fakegroupA
S107,8,animals,hammerheadshark,fakegroupA
S107,8,animals,salmon,fakegroupA
S107,8,animals,tuna,fakegroupA
